date,ObserveValue,AnalogValue
1,0.096096,1.034750
2,0.093412,0.816680
3,0.086432,0.789917
4,0.081601,1.298347
5,0.077843,1.275366
6,0.074622,0.946411
7,0.071401,0.766539
8,0.067106,0.640987
9,0.062274,0.547935
10,0.060127,0.476137
11,0.057443,0.422406
12,0.054758,0.390241
13,0.051001,0.355865
14,0.047779,0.322538
15,0.044558,0.293998
16,0.041337,0.269168
17,0.037042,0.247763
18,0.035969,0.228997
19,0.029527,0.212311
20,0.028453,0.197362
21,0.023621,0.183859
22,0.022548,0.171665
23,0.018790,0.160785
24,0.016642,0.151078
25,0.013421,0.142243
26,0.011274,0.153577
27,0.010200,0.309877
28,0.008590,0.360359
29,0.007516,0.262319
30,0.006979,0.238146
31,0.006442,0.217502
32,0.006442,0.199641
33,0.006442,0.184042
34,0.005905,0.170365
35,0.004832,0.158296
36,0.004295,0.147565
37,0.003758,0.137961
38,0.002684,0.129331
39,0.003221,0.121545
40,0.002684,0.114491
41,0.002684,0.108079
42,0.002684,0.102231
43,0.002147,0.096881
44,0.001611,0.091977
45,0.002147,0.090681
46,0.002147,0.101825
47,0.002684,0.102664
48,0.002684,0.097274
49,0.001611,0.092347
50,0.001611,0.087833
51,0.001611,0.083684
52,0.001611,0.079855
53,0.001611,0.076308
54,0.001074,0.073015
55,0.000537,0.069951
56,0.000537,0.067099
57,0.000537,0.064438
58,0.000000,0.061950
59,0.000000,0.059619
60,0.000000,0.057431
61,0.001074,0.055730
62,0.002147,0.055399
63,0.001611,0.054073
64,0.001611,0.052217
65,0.001074,0.050466
66,0.000000,0.048810
67,0.000000,0.047245
68,0.000000,0.045762
69,0.000000,0.044355
70,0.000000,0.043021
71,0.000000,0.041752
72,0.000000,0.040545
73,0.000000,0.039396
74,0.000000,0.038301
75,0.000000,0.037256
76,0.000000,0.036258
77,0.000000,0.035305
78,0.000000,0.034393
79,0.000000,0.033521
80,0.000000,0.032686
81,0.000000,0.031885
82,0.000000,0.031116
83,0.000000,0.030379
84,0.000537,0.029671
85,0.000000,0.028990
86,0.000000,0.028335
87,0.000000,0.027705
88,0.000000,0.027098
89,0.000000,0.026513
90,0.000000,0.025950
91,0.000000,0.025406
92,0.000000,0.024881
93,0.000537,0.024375
94,0.000537,0.023885
95,0.000537,0.023412
96,0.000537,0.022954
97,0.001074,0.022512
98,0.001611,0.022083
99,0.001611,0.021669
100,0.001611,0.021275
101,0.001074,0.020924
102,0.001074,0.020572
103,0.002147,0.020365
104,0.002147,0.020503
105,0.002147,0.020364
106,0.002147,0.020217
107,0.001611,0.019947
108,0.001611,0.019701
109,0.001611,0.019822
110,0.001611,0.019652
111,0.001611,0.019312
112,0.001611,0.018981
113,0.001074,0.018709
114,0.001074,0.018754
115,0.001074,0.019158
116,0.001074,0.019074
117,0.001074,0.018751
118,0.001074,0.018438
119,0.001074,0.018133
120,0.001074,0.017836
121,0.001074,0.017547
122,0.001074,0.017345
123,0.001074,0.017436
124,0.001074,0.017311
125,0.001074,0.017341
126,0.001074,0.018311
127,0.001074,0.022249
128,0.001074,0.029520
129,0.001074,0.029442
130,0.001074,0.022139
131,0.001074,0.022903
132,0.007516,0.071878
133,0.010737,0.243506
134,0.007516,0.303107
135,0.006979,0.165721
136,0.006979,0.126628
137,0.005368,0.119494
138,0.004295,0.113027
139,0.004295,0.107137
140,0.003758,0.101749
141,0.003221,0.096805
142,0.003221,0.092264
143,0.003221,0.090115
144,0.002147,0.095719
145,0.002147,0.101001
146,0.002684,0.159047
147,0.003758,0.282611
148,0.007516,0.399415
149,0.008053,0.449334
150,0.015032,0.366005
151,0.015569,0.323696
152,0.010737,0.289462
153,0.008590,0.261264
154,0.006979,0.244009
155,0.006442,0.252726
156,0.005905,0.243984
157,0.004832,0.224191
158,0.004832,0.206425
159,0.004295,0.191073
160,0.003758,0.177714
161,0.003758,0.166002
162,0.003221,0.155649
163,0.003221,0.146435
164,0.003221,0.138184
165,0.003221,0.130742
166,0.003221,0.123995
167,0.003221,0.117862
168,0.003221,0.112276
169,0.003221,0.107167
170,0.003221,0.102477
171,0.003221,0.098163
172,0.002684,0.094187
173,0.002147,0.090509
174,0.002147,0.087102
175,0.002147,0.083935
176,0.001611,0.080976
177,0.001611,0.078209
178,0.001611,0.075612
179,0.002147,0.073170
180,0.002147,0.070871
181,0.002147,0.068708
182,0.002147,0.066667
183,0.002147,0.070645
184,0.002684,0.137340
185,0.002684,0.208120
186,0.003221,0.185620
187,0.003221,0.150646
188,0.003221,0.144082
189,0.003758,0.137676
190,0.003758,0.131887
191,0.004295,0.129228
192,0.005905,0.125352
193,0.006442,0.123654
194,0.006442,0.122216
195,0.007516,0.142972
196,0.009663,0.268746
197,0.032211,0.289913
198,0.051001,0.224632
199,0.047779,0.212338
200,0.041874,0.212570
201,0.058516,0.294845
202,0.538995,0.907380
203,0.600196,1.071886
204,0.391899,0.727631
205,0.308687,0.628209
206,0.224939,0.650736
207,0.177160,0.599933
208,0.159444,0.530043
209,0.141191,0.528113
210,0.176623,0.547490
211,0.368278,0.754620
212,1.208444,1.632983
213,1.619670,2.147423
214,1.904199,2.312550
215,2.074380,2.304528
216,2.473257,2.374050
217,2.525332,2.307683
218,2.096927,1.707979
219,1.462910,1.341980
220,1.772134,1.693404
221,2.147928,2.363389
222,1.976673,1.947624
223,1.566522,1.475579
224,1.715228,1.474091
225,1.782871,1.542354
226,1.656175,1.522741
227,1.383993,1.258217
228,1.131675,1.125025
229,1.353930,1.377051
230,1.226160,1.250049
231,1.323330,1.173007
232,2.159738,1.970687
233,2.126454,2.164838
234,2.043779,2.172403
235,1.946610,1.910439
236,1.839240,1.795175
237,1.599269,1.462494
238,1.353930,1.255940
239,2.206444,1.827306
240,3.500784,3.373822
241,3.437436,3.349194
242,3.174381,2.645747
243,2.746513,2.195511
244,2.508153,1.661432
245,2.227381,1.286985
246,1.974526,1.063413
247,1.728113,0.913440
248,1.484384,0.804823
249,1.263740,0.723725
250,1.103222,0.665337
251,0.993168,0.653637
252,0.920694,0.722381
253,0.945926,0.927529
254,1.381846,1.410700
255,1.633628,1.311616
256,1.474184,1.087316
257,1.391509,1.052642
258,1.142412,0.941200
259,0.967400,0.868319
260,1.377551,1.274421
261,2.460910,2.936195
262,2.503858,2.803203
263,2.266571,1.860764
264,1.943389,1.515955
265,1.619133,1.317524
266,1.360372,1.518948
267,1.144559,1.677327
268,1.373256,1.431613
269,1.929431,1.373613
270,2.817914,2.583834
271,3.251687,3.584133
272,3.401467,3.372857
273,3.258129,3.355038
274,3.020305,2.421739
275,2.901662,1.919403
276,2.765839,2.537991
277,2.554858,2.196433
278,2.335824,1.616519
279,2.176381,1.321651
