0.1,5.3,0.17940096
1.8,6.3,0.17438976
17.7,3.5,0.16136064
3.6,3.7,0.15234048
1.1,7.3,0.1453248
1.1,6.1,0.13931136
0,6.4,0.13329792
0,7.4,0.12528
0,7.1,0.11625984
0,7.2,0.11225088
4.3,3.5,0.10723968
6.1,6.2,0.10222848
0,3.8,0.0952128
0,6.5,0.08919936
0,7.9,0.08318592
1.4,3.2,0.07717248
0.3,6.4,0.06915456
0,6,0.06715008
0,6.6,0.0551232
0,7.9,0.05311872
0,7.5,0.04409856
0.9,3,0.04209408
1.1,2.1,0.0350784
0,6.5,0.03106944
0.5,8.3,0.025056
22.4,3.8,0.02104704
0.2,7,0.01904256
0.7,8.1,0.01603584
3.8,6.7,0.01403136
0,7.2,0.01302912
0,7.3,0.01202688
0,9.1,0.01202688
0.1,5.4,0.01202688
0,6.4,0.01102464
0,7.2,0.00902016
0,8.7,0.00801792
0,7.6,0.00701568
0,8.3,0.0050112
0,9,0.00601344
0,8.7,0.0050112
0,9.3,0.0050112
0,10.8,0.0050112
1.3,11,0.00400896
1.2,2.7,0.00300672
17.7,6.1,0.00400896
0,5.7,0.00400896
0,8.2,0.0050112
0,3.3,0.0050112
1.9,3.5,0.00300672
2.1,4.4,0.00300672
0,5.2,0.00300672
0,7.2,0.00300672
0,8.1,0.00300672
0,9.5,0.00200448
0.2,2.6,0.00100224
0,4.3,0.00100224
0.6,5.3,0.00100224
0,6.8,0
0,7.9,0
0.1,4.6,0
5.8,2.4,0.00200448
0,4.3,0.00400896
0.3,4.6,0.00300672
0,8.1,0.00300672
0,5.7,0.00200448
0,6.5,0
0,5,0
0,4.3,0
0,7.7,0
0,8.1,0
0,6.1,0
0,7.8,0
3.6,9.6,0
0,8.4,0
0,7.6,0
0,3.9,0
0,4,0
0,4.2,0
0,4.9,0
2.9,4.3,0
0,6.1,0
0,6.8,0
0,2.9,0
0.3,2.7,0.00100224
1.1,5.2,0
0,5.8,0
0,5.5,0
0,6.4,0
0,7.3,0
0,6.2,0
0,4.1,0
0,4,0
0.8,3.8,0.00100224
0,2.2,0.00100224
2.5,3.9,0.00100224
3.7,4,0.00100224
0,4.7,0.00200448
1.2,3,0.00300672
0.3,4.5,0.00300672
3.7,2.7,0.00300672
0,4.9,0.00200448
4,2.5,0.00200448
11.9,3,0.00400896
0.6,2.6,0.00400896
6.7,3.7,0.00400896
4.2,4.1,0.00400896
0.8,1.7,0.00300672
6.9,1.4,0.00300672
1.3,1.9,0.00300672
0.4,1.8,0.00300672
0,2.6,0.00300672
0,1.8,0.00300672
3.7,1.2,0.00200448
8.2,2.3,0.00200448
0.9,2.4,0.00200448
0,2.3,0.00200448
0,2.1,0.00200448
0.2,3.7,0.00200448
0,2,0.00200448
0.1,1.3,0.00200448
0,1,0.00200448
5.3,1.8,0.00200448
0.1,1.3,0.00200448
2,1.4,0.00200448
10.1,1.6,0.00200448
4.7,2.1,0.00200448
14.1,2.2,0.00200448
0.6,2.6,0.00200448
0,1,0.00200448
2.2,1.5,0.00200448
14.7,0.5,0.00200448
48.3,1.2,0.01403136
3.2,1.5,0.0200448
0,1.4,0.01403136
0,1.8,0.01302912
0,1.9,0.01302912
0,2.3,0.0100224
0,2.5,0.00801792
0,2.9,0.00801792
0.1,2.8,0.00701568
0.1,1.5,0.00601344
0,1.5,0.00601344
6.6,2.3,0.00601344
0,1.9,0.00400896
11.7,0.9,0.00400896
13.2,1.6,0.0050112
11.4,0.7,0.00701568
9,1.3,0.01403136
0.1,1,0.0150336
0,2.1,0.02806272
0,1.9,0.02906496
0,1.7,0.0200448
0,1,0.01603584
4.6,0.7,0.01302912
1.6,1.3,0.01202688
0.3,1.6,0.01102464
0.1,1.8,0.00902016
