date,ObserveValue,AnalogValue
1,0.000000,1.587483
2,0.000000,1.290778
3,0.000000,1.079387
4,0.000000,1.611277
5,0.000000,1.539810
6,0.000000,1.115003
7,0.000000,0.947698
8,0.000000,0.823364
9,0.000000,1.748611
10,0.000000,1.770042
11,0.000000,1.198765
12,0.000000,1.009900
13,0.000000,1.209889
14,0.000000,1.134929
15,0.000000,0.883005
16,0.000000,0.771000
17,0.000000,1.184316
18,0.000000,1.180233
19,0.000000,0.867919
20,0.000000,0.759438
21,0.000000,0.673896
22,0.000000,0.604042
23,0.000000,0.546203
24,0.000000,0.497694
25,0.000000,0.456541
26,0.000000,0.421181
27,0.000000,0.390505
28,0.000000,0.363666
29,0.000000,0.340030
30,0.000000,0.319082
31,0.000000,0.300443
32,0.000000,0.283762
33,0.000000,0.268730
34,0.000000,0.255129
35,0.000000,0.242773
36,0.000000,0.231504
37,0.000000,0.221190
38,0.000000,0.211715
39,0.000000,0.203241
40,0.000000,0.206938
41,0.000000,0.202784
42,0.000000,0.186971
43,0.000000,0.180005
44,0.000000,0.173561
45,0.000000,0.167543
46,0.000000,0.161911
47,0.000000,0.156630
48,0.000000,0.151669
49,0.000000,0.147001
50,0.000000,0.142600
51,0.000000,0.138445
52,0.000000,0.134516
53,0.000000,0.130796
54,0.000000,0.127268
55,0.000000,0.123919
56,0.000000,0.120735
57,1.551853,0.171987
58,0.117024,0.187316
59,1.043692,0.192774
60,0.039272,0.206603
61,0.122974,0.158113
62,0.003967,0.152885
63,0.000397,0.148172
64,0.000000,0.143726
65,0.000000,0.139525
66,0.000000,0.135549
67,0.000000,0.131776
68,0.000000,0.128200
69,0.000000,0.127165
70,0.000000,0.174787
71,0.000000,0.186431
72,0.000000,0.142432
73,0.000000,0.258001
74,0.000397,0.301059
75,0.000793,0.218629
76,0.000397,0.339476
77,0.000000,0.362101
78,0.000000,0.261489
79,0.000000,0.248559
80,0.000000,0.236990
81,0.000000,0.226390
82,0.000000,0.216613
83,0.000000,0.207588
84,0.000000,0.199227
85,0.000000,0.191449
86,0.000000,0.184219
87,0.000000,0.177490
88,0.000000,0.171211
89,0.000000,0.165341
90,0.000000,0.159846
91,0.000000,0.154690
92,0.000000,0.149845
93,0.000000,0.145284
94,0.000000,0.140979
95,0.000000,0.136913
96,0.000000,0.133066
97,0.000000,0.129421
98,0.000000,0.128217
99,0.000000,0.126104
100,0.000000,0.121179
101,0.000000,0.117773
102,0.000000,0.114881
103,0.000000,0.112124
104,0.000000,0.109491
105,0.000000,0.106976
106,0.000000,0.104569
107,0.000000,0.102265
108,0.000000,0.100057
109,0.000000,0.097939
110,0.000000,0.095906
111,0.000000,0.093953
112,0.000000,0.092076
113,0.000000,0.123563
114,0.000000,0.163706
115,0.000000,0.155827
116,0.000000,0.215177
117,0.000000,0.228441
118,0.000000,0.154925
119,0.000000,0.149700
120,0.000000,0.145137
121,0.000000,0.140864
122,0.000000,0.136840
123,0.000000,0.133004
124,0.000000,0.129369
125,0.000000,0.125918
126,0.000000,0.122642
127,0.000000,0.119531
128,0.000000,0.116564
129,0.000000,0.113729
130,0.000000,0.111025
131,0.000000,0.108441
132,0.000000,0.105969
133,0.000000,0.103606
134,0.000000,0.101342
135,0.000000,0.099171
136,0.000000,0.097088
137,0.000000,0.095089
138,1.315822,0.134537
139,0.015471,0.178727
140,0.004760,0.149889
141,0.008727,0.119336
142,0.004364,0.163827
143,0.001983,0.177088
144,0.000793,0.133460
145,0.000000,0.450673
146,0.000000,0.556036
147,0.000000,0.311737
148,0.000000,0.293146
149,0.000000,0.277518
150,0.000000,0.263287
151,0.000000,0.250311
152,0.000000,0.238461
153,0.000000,0.227624
154,0.000000,0.217699
155,0.000000,0.208565
156,0.000000,0.200125
157,0.000000,0.192303
158,0.000000,0.185025
159,0.000000,0.178248
160,0.000000,0.171927
161,0.000000,0.166018
162,0.000000,0.160485
163,0.000000,0.155294
164,0.000000,0.150414
165,0.000000,0.145820
166,0.000000,0.141487
167,0.000000,0.137395
168,0.000000,0.139637
169,0.000000,0.137969
170,0.000000,0.135668
171,0.000000,0.134281
172,0.083702,0.169457
173,1.123824,0.710998
174,1.398333,1.087370
175,0.166213,0.763083
176,0.055140,0.592760
177,0.016661,0.537005
178,0.002777,0.490299
179,0.000793,0.450421
180,0.000000,0.415992
181,0.000000,0.386095
182,0.000000,0.359965
183,0.000000,0.336917
184,0.000000,0.316460
185,0.000000,0.298200
186,0.000000,0.281809
187,0.000000,0.267020
188,0.000000,0.253620
189,0.000000,0.241421
190,0.000000,0.230282
191,0.000000,0.220083
192,0.000000,0.210709
193,0.000000,0.202067
194,0.000000,0.194080
195,0.000000,0.186671
196,0.000000,0.179777
197,0.000000,0.173352
198,0.000000,0.167352
199,0.000000,0.161735
200,0.000000,0.156467
201,0.000000,0.158374
202,0.000000,0.155907
203,0.000000,0.145917
204,0.000000,0.141551
205,0.000000,0.146291
206,0.000000,0.145295
207,0.000000,0.257525
208,0.000000,0.294540
209,0.000000,0.192058
210,0.000000,0.184337
211,0.000000,0.177652
212,0.000000,0.171412
213,0.000000,0.165585
214,0.000000,0.160143
215,0.000000,0.155021
216,0.000000,0.160846
217,0.000000,0.159731
218,0.000000,0.146741
219,0.000000,0.142324
220,0.000000,0.138198
221,0.000000,0.134296
222,0.000000,0.130595
223,0.000000,0.127082
224,0.000000,0.123747
225,0.000000,0.120576
226,0.000000,0.117558
227,0.000000,0.114682
228,0.000000,0.111937
229,0.000000,0.109317
230,0.000000,0.106811
231,0.000000,0.104413
232,0.000000,0.102116
233,0.000000,0.099914
234,0.000000,0.097803
235,0.000000,0.095776
236,0.000000,0.093828
237,0.000000,0.091956
238,0.000000,0.090154
239,0.000000,0.088420
240,0.000000,0.086749
241,0.000000,0.085139
242,0.000000,0.087822
243,0.000000,0.087801
244,0.000000,0.082304
245,0.000000,0.080826
246,0.000000,0.079420
247,0.000000,0.078062
248,0.000000,0.080980
249,0.000000,0.089267
250,0.000000,0.185983
251,0.000000,0.212334
252,0.000000,0.119417
253,0.000000,0.116011
254,0.000000,0.113247
255,0.000000,0.110599
256,0.000000,0.108059
257,0.000000,0.105632
258,0.000000,0.103308
259,0.000000,0.101077
260,0.000000,0.098937
261,0.000000,0.096884
262,0.000000,0.094906
263,0.000000,0.093001
264,0.000000,0.091168
265,0.000000,0.089403
266,0.000000,0.087702
267,0.000000,0.086062
268,0.000000,0.084479
269,0.000000,0.082951
270,0.000000,0.081475
271,0.000000,0.080051
272,0.000000,0.078674
273,0.000000,0.077342
274,0.000000,0.076053
275,0.000000,0.074804
276,0.000000,0.073595
277,0.000000,0.072423
278,0.000000,0.071286
279,0.000000,0.070183
280,0.000000,0.069113
